Asshole,Everyone Sucks,No A-holes here,Not enough info,Not the A-hole,accuracy,macro avg,Model,Weighted Avg F1-Score
"{'precision': 0.38461538461538464, 'recall': 0.4166666666666667, 'f1-score': 0.4, 'support': 48}","{'precision': 0.2926829268292683, 'recall': 0.2857142857142857, 'f1-score': 0.28915662650602414, 'support': 42}","{'precision': 0.42, 'recall': 0.6, 'f1-score': 0.49411764705882355, 'support': 35}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 4}","{'precision': 0.5303030303030303, 'recall': 0.38461538461538464, 'f1-score': 0.44585987261146504, 'support': 91}",0.4,"{'precision': 0.3255202683495366, 'recall': 0.33739926739926734, 'f1-score': 0.3258268292352625, 'support': 220}",Naive Bayes,0.40550883803615984
"{'precision': 0.3880597014925373, 'recall': 0.5416666666666666, 'f1-score': 0.45217391304347826, 'support': 48}","{'precision': 0.25806451612903225, 'recall': 0.38095238095238093, 'f1-score': 0.30769230769230765, 'support': 42}","{'precision': 0.5111111111111111, 'recall': 0.6571428571428571, 'f1-score': 0.575, 'support': 35}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 4}","{'precision': 0.631578947368421, 'recall': 0.26373626373626374, 'f1-score': 0.372093023255814, 'support': 91}",0.4045454545454545,"{'precision': 0.35776285522022033, 'recall': 0.36869963369963366, 'f1-score': 0.34139184879831996, 'support': 220}",SVM,0.4027858630247407
"{'precision': 0.40625, 'recall': 0.5416666666666666, 'f1-score': 0.46428571428571425, 'support': 48}","{'precision': 0.2978723404255319, 'recall': 0.3333333333333333, 'f1-score': 0.3146067415730337, 'support': 42}","{'precision': 0.43859649122807015, 'recall': 0.7142857142857143, 'f1-score': 0.5434782608695652, 'support': 35}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 4}","{'precision': 0.7096774193548387, 'recall': 0.24175824175824176, 'f1-score': 0.36065573770491804, 'support': 91}",0.3954545454545454,"{'precision': 0.37047925020168815, 'recall': 0.36620879120879124, 'f1-score': 0.33660529088664626, 'support': 220}",Logistic Regression,0.3970027667880183
"{'precision': 0.4, 'recall': 0.3333333333333333, 'f1-score': 0.3636363636363636, 'support': 48}","{'precision': 0.18518518518518517, 'recall': 0.11904761904761904, 'f1-score': 0.14492753623188406, 'support': 42}","{'precision': 0.42424242424242425, 'recall': 0.4, 'f1-score': 0.411764705882353, 'support': 35}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 4}","{'precision': 0.47058823529411764, 'recall': 0.6153846153846154, 'f1-score': 0.5333333333333333, 'support': 91}",0.4136363636363636,"{'precision': 0.2960031689443454, 'recall': 0.2935531135531136, 'f1-score': 0.2907323878167868, 'support': 220}",Random Forest,0.3931209091613649
"{'precision': 0.18, 'recall': 0.1875, 'f1-score': 0.1836734693877551, 'support': 48}","{'precision': 0.14583333333333334, 'recall': 0.16666666666666666, 'f1-score': 0.15555555555555556, 'support': 42}","{'precision': 0.2647058823529412, 'recall': 0.2571428571428571, 'f1-score': 0.2608695652173913, 'support': 35}","{'precision': 0.09090909090909091, 'recall': 0.25, 'f1-score': 0.13333333333333333, 'support': 4}","{'precision': 0.37662337662337664, 'recall': 0.31868131868131866, 'f1-score': 0.34523809523809523, 'support': 91}",0.25,"{'precision': 0.2116143366437484, 'recall': 0.23599816849816851, 'f1-score': 0.21573400374642607, 'support': 220}",Decision Tree,0.25650043021161034
"{'precision': 0.36363636363636365, 'recall': 0.4166666666666667, 'f1-score': 0.38834951456310685, 'support': 48}","{'precision': 0.1323529411764706, 'recall': 0.21428571428571427, 'f1-score': 0.16363636363636364, 'support': 42}","{'precision': 0.3404255319148936, 'recall': 0.45714285714285713, 'f1-score': 0.39024390243902435, 'support': 35}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 4}","{'precision': 0.25, 'recall': 0.01098901098901099, 'f1-score': 0.021052631578947368, 'support': 91}",0.209090909090909,"{'precision': 0.21728296734554556, 'recall': 0.2198168498168498, 'f1-score': 0.1926564824434884, 'support': 220}",KNN,0.18676286377639303
